,scheme_code,scheme_name,nav_start,date_start,nav_end,date_end,nav_growth_abs,nav_growth_pct
1,149327,INF204KC1329,11.8366,2025-05-20,35.3703,2026-05-19,23.5337,198.82
2,149329,,11.8366,2025-05-20,35.3703,2026-05-19,23.5337,198.82
3,149325,INF204KC1295,11.2507,2025-05-20,33.1602,2026-05-19,21.9095,194.74
4,149328,,11.2507,2025-05-20,33.1602,2026-05-19,21.9095,194.74
5,149464,,96.2554,2025-05-20,265.5347,2026-05-19,169.2793,175.86
6,152735,,10.2513,2025-05-20,28.269,2026-05-19,18.0177,175.76
7,152736,INF200KB1258,10.2513,2025-05-20,28.2689,2026-05-19,18.0176,175.76
8,150523,,93.0529,2025-05-20,256.5055,2026-05-19,163.4526,175.66
9,149779,,96.3469,2025-05-20,265.3531,2026-05-19,169.0062,175.41
10,152734,INF200KB1274,10.2185,2025-05-20,28.0862,2026-05-19,17.8677,174.86
11,152733,,10.2188,2025-05-20,28.0824,2026-05-19,17.8636,174.81
12,152285,,9.3889,2025-05-20,25.8008,2026-05-19,16.4119,174.8
13,151779,,94.1812,2025-05-20,258.6405,2026-05-19,164.4593,174.62
14,149758,,92.629,2025-05-20,254.3624,2026-05-19,161.7334,174.6
15,150610,,96.1459,2025-05-20,263.9886,2026-05-19,167.8427,174.57
16,152725,,94.8129,2025-05-20,260.2482,2026-05-19,165.4353,174.49
17,153413,,9.8373,2025-05-20,26.9914,2026-05-18,17.1541,174.38
18,150556,,92.7509,2025-05-20,254.2829,2026-05-19,161.532,174.16
19,152212,,96.7488,2025-05-20,265.2018,2026-05-19,168.453,174.11
20,153415,,95.4669,2025-05-20,261.2804,2026-05-19,165.8135,173.69
21,151730,,93.8347,2025-05-20,256.7636,2026-05-19,162.9289,173.63
22,151603,,12.9811,2025-05-20,35.2818,2026-05-19,22.3007,171.79
23,149780,,15.1512,2025-05-20,41.1289,2026-05-19,25.9777,171.46
24,151731,,12.4808,2025-05-20,33.8775,2026-05-19,21.3967,171.44
25,149781,INF209KB18F8,15.1479,2025-05-20,41.1141,2026-05-19,25.9662,171.42
26,153487,,10.1577,2025-05-20,27.5696,2026-05-19,17.4119,171.42
27,153489,INF740KA1WB9,10.1577,2025-05-20,27.5696,2026-05-19,17.4119,171.42
28,149775,,14.9546,2025-05-20,40.5754,2026-05-19,25.6208,171.32
29,149776,INF109KC1Z14,14.9548,2025-05-20,40.576,2026-05-19,25.6212,171.32
30,150737,,16.1359,2025-05-20,43.705,2026-05-19,27.5691,170.86
31,149760,,14.9106,2025-05-20,40.3761,2026-05-19,25.4655,170.79
32,149762,INF204KC1394,14.9106,2025-05-20,40.3761,2026-05-19,25.4655,170.79
33,151602,,12.8547,2025-05-20,34.7847,2026-05-19,21.93,170.6
34,151732,,12.3842,2025-05-20,33.4996,2026-05-19,21.1154,170.5
35,149783,,14.9112,2025-05-20,40.3318,2026-05-19,25.4206,170.48
36,150615,,16.7706,2025-05-20,45.3616,2026-05-19,28.591,170.48
37,150616,INF846K017J0,16.7706,2025-05-20,45.361,2026-05-19,28.5904,170.48
38,149784,INF209KB15F4,14.9091,2025-05-20,40.3241,2026-05-19,25.415,170.47
39,153486,,10.1569,2025-05-20,27.4467,2026-05-19,17.2898,170.23
40,153488,INF740KA1VY3,10.1569,2025-05-20,27.4467,2026-05-19,17.2898,170.23
41,149777,,14.7115,2025-05-20,39.7235,2026-05-19,25.012,170.02
42,149778,INF109KC1Y80,14.7113,2025-05-20,39.7227,2026-05-19,25.0114,170.01
43,149759,,14.7167,2025-05-20,39.7254,2026-05-19,25.0087,169.93
44,149761,INF204KC1360,14.7167,2025-05-20,39.7254,2026-05-19,25.0087,169.93
45,150736,,15.985,2025-05-20,43.1272,2026-05-19,27.1422,169.8
46,150617,,16.5471,2025-05-20,44.5162,2026-05-19,27.9691,169.03
47,150618,INF846K010K3,16.5472,2025-05-20,44.5146,2026-05-19,27.9674,169.02
48,152293,,13.0451,2025-05-20,34.6974,2026-05-19,21.6523,165.98
49,152294,,13.0451,2025-05-20,34.6974,2026-05-19,21.6523,165.98
50,152295,INF277KA1950,13.0451,2025-05-20,34.6974,2026-05-19,21.6523,165.98
51,152292,INF277KA1927,12.9612,2025-05-20,34.305,2026-05-19,21.3438,164.67
52,152296,,12.9612,2025-05-20,34.305,2026-05-19,21.3438,164.67
